Categoría: Todas las categorías

Mes,recession: (Todo el mundo)
2004-01,8
2004-02,7
2004-03,8
2004-04,9
2004-05,8
2004-06,7
2004-07,6
2004-08,6
2004-09,7
2004-10,9
2004-11,8
2004-12,5
2005-01,5
2005-02,7
2005-03,6
2005-04,7
2005-05,7
2005-06,6
2005-07,4
2005-08,6
2005-09,7
2005-10,7
2005-11,7
2005-12,6
2006-01,6
2006-02,6
2006-03,7
2006-04,6
2006-05,6
2006-06,5
2006-07,5
2006-08,7
2006-09,7
2006-10,6
2006-11,7
2006-12,6
2007-01,5
2007-02,9
2007-03,10
2007-04,7
2007-05,7
2007-06,4
2007-07,4
2007-08,10
2007-09,15
2007-10,12
2007-11,17
2007-12,16
2008-01,79
2008-02,38
2008-03,43
2008-04,39
2008-05,23
2008-06,18
2008-07,28
2008-08,28
2008-09,52
2008-10,98
2008-11,79
2008-12,83
2009-01,77
2009-02,93
2009-03,94
2009-04,72
2009-05,60
2009-06,45
2009-07,45
2009-08,45
2009-09,43
2009-10,44
2009-11,43
2009-12,36
2010-01,31
2010-02,32
2010-03,32
2010-04,30
2010-05,25
2010-06,22
2010-07,20
2010-08,23
2010-09,26
2010-10,25
2010-11,25
2010-12,19
2011-01,19
2011-02,18
2011-03,21
2011-04,20
2011-05,18
2011-06,17
2011-07,16
2011-08,40
2011-09,28
2011-10,26
2011-11,26
2011-12,21
2012-01,18
2012-02,18
2012-03,17
2012-04,20
2012-05,18
2012-06,15
2012-07,14
2012-08,15
2012-09,16
2012-10,18
2012-11,20
2012-12,13
2013-01,14
2013-02,15
2013-03,15
2013-04,16
2013-05,15
2013-06,10
2013-07,9
2013-08,10
2013-09,11
2013-10,13
2013-11,13
2013-12,11
2014-01,10
2014-02,12
2014-03,12
2014-04,12
2014-05,11
2014-06,9
2014-07,7
2014-08,8
2014-09,10
2014-10,12
2014-11,15
2014-12,12
2015-01,13
2015-02,11
2015-03,12
2015-04,12
2015-05,11
2015-06,9
2015-07,11
2015-08,12
2015-09,17
2015-10,13
2015-11,13
2015-12,12
2016-01,16
2016-02,17
2016-03,15
2016-04,16
2016-05,14
2016-06,14
2016-07,10
2016-08,10
2016-09,17
2016-10,16
2016-11,18
2016-12,14
2017-01,13
2017-02,14
2017-03,14
2017-04,14
2017-05,14
2017-06,12
2017-07,9
2017-08,9
2017-09,11
2017-10,12
2017-11,13
2017-12,11
2018-01,11
2018-02,14
2018-03,13
2018-04,14
2018-05,13
2018-06,13
2018-07,12
2018-08,12
2018-09,16
2018-10,17
2018-11,16
2018-12,22
2019-01,18
2019-02,17
2019-03,20
2019-04,17
2019-05,15
2019-06,16
2019-07,16
2019-08,60
2019-09,31
2019-10,26
2019-11,22
2019-12,19
2020-01,16
2020-02,22
2020-03,100
2020-04,62
2020-05,34
2020-06,29
2020-07,18
2020-08,26
2020-09,20
2020-10,15
2020-11,19
2020-12,13
2021-01,12
2021-02,12
2021-03,12
2021-04,12
2021-05,11
2021-06,9
2021-07,8
2021-08,8
2021-09,11
2021-10,12
2021-11,11
2021-12,10
2022-01,13
2022-02,16
2022-03,27
2022-04,39
2022-05,55
2022-06,95
2022-07,89
2022-08,48
2022-09,46
2022-10,56
2022-11,57
2022-12,38
2023-01,42
2023-02,32
2023-03,34
2023-04,32
2023-05,35
2023-06,29
2023-07,20
2023-08,23
2023-09,21
2023-10,22
2023-11,21
2023-12,20
2024-01,17
2024-02,33
2024-03,20
2024-04,19
2024-05,18
2024-06,14
2024-07,14
2024-08,36
2024-09,21
2024-10,16
2024-11,18
2024-12,16
2025-01,15
2025-02,20
2025-03,52
2025-04,61
2025-05,24
2025-06,19
2025-07,17
2025-08,29
2025-09,31
2025-10,29
2025-11,19
